2 : [ 13 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7809224318658281
2 : [ 10 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7803983228511531
2 : [ 9 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7798742138364779
2 : [ 10 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7783018867924528
2 : [ 12 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7777777777777778
2 : [ 10 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7777777777777777
2 : [ 19 112 ]  accuracy : 0.9171597633136095, recall : 0.9171597633136095, precision : 0.9240222681278666, f1 : 0.8775294031704289, roc_auc : 0.776036866359447
2 : [ 12 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7756813417190775
2 : [ 17 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7741090146750524
2 : [ 20 112 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7725366876310273
2 : [ 17 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7725366876310272
2 : [ 22 113 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7723549488054606
2 : [ 20 558 ]  accuracy : 0.9331210191082803, recall : 0.9331210191082803, precision : 0.9375938171933953, f1 : 0.900838413834353, roc_auc : 0.7719811474077686
2 : [ 20 365 ]  accuracy : 0.9424920127795527, recall : 0.9424920127795527, precision : 0.9457991813736998, f1 : 0.9145892887170002, roc_auc : 0.771186440677966
2 : [ 22 27 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7706484641638226
2 : [ 8 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.770440251572327
2 : [ 20 302 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7703071672354949
2 : [ 22 302 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.770136518771331
2 : [ 20 169 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7694539249146758
2 : [ 22 25 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7689419795221843
2 : [ 18 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7688679245283019
2 : [ 11 112 ]  accuracy : 0.9239766081871345, recall : 0.9239766081871345, precision : 0.8641898864809082, f1 : 0.8930837732629446, roc_auc : 0.7678197064989518
2 : [ 20 167 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7677474402730375
2 : [ 22 255 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7674061433447099
2 : [ 8 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7672955974842768
2 : [ 20 560 ]  accuracy : 0.9331210191082803, recall : 0.9331210191082803, precision : 0.9375938171933953, f1 : 0.900838413834353, roc_auc : 0.7672679993499105
2 : [ 20 440 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7663822525597269
2 : [ 8 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7662473794549267
2 : [ 22 254 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7662116040955631
2 : [ 20 304 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7658703071672355
2 : [ 18 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7657232704402516
2 : [ 20 438 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7655290102389078
2 : [ 22 115 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7651877133105802
2 : [ 22 167 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7646757679180887
2 : [ 14 247 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7646750524109016
2 : [ 14 519 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7646750524109015
2 : [ 22 88 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.764505119453925
2 : [ 22 297 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7641638225255973
2 : [ 20 561 ]  accuracy : 0.9331210191082803, recall : 0.9331210191082803, precision : 0.9375938171933953, f1 : 0.900838413834353, roc_auc : 0.7638550300666341
2 : [ 14 385 ]  accuracy : 0.9298245614035088, recall : 0.9298245614035088, precision : 0.9347491535857186, f1 : 0.8960127591706539, roc_auc : 0.7636268343815514
2 : [ 22 251 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.763481228668942
2 : [ 21 112 ]  accuracy : 0.9058823529411765, recall : 0.9058823529411765, precision : 0.830838844413505, f1 : 0.8667392883079159, roc_auc : 0.7634408602150538
2 : [ 20 297 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7629692832764505
2 : [ 20 587 ]  accuracy : 0.9299363057324841, recall : 0.9299363057324841, precision : 0.934845226986896, f1 : 0.8961762418280045, roc_auc : 0.761986301369863
2 : [ 22 222 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7617747440273036
2 : [ 22 86 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7616040955631399
2 : [ 22 169 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7614334470989761
2 : [ 20 559 ]  accuracy : 0.9331210191082803, recall : 0.9331210191082803, precision : 0.9375938171933953, f1 : 0.900838413834353, roc_auc : 0.7614171948642937
2 : [ 22 119 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7610921501706485
2 : [ 22 162 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7609215017064848
2 : [ 22 156 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7609215017064846
2 : [ 22 291 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.760580204778157
2 : [ 21 385 ]  accuracy : 0.9058823529411765, recall : 0.9058823529411765, precision : 0.830838844413505, f1 : 0.8667392883079159, roc_auc : 0.7604301075268817
2 : [ 20 588 ]  accuracy : 0.9299363057324841, recall : 0.9299363057324841, precision : 0.934845226986896, f1 : 0.8961762418280045, roc_auc : 0.7604296388542965
2 : [ 22 117 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7604095563139932
2 : [ 22 299 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7600682593856656
2 : [ 21 247 ]  accuracy : 0.9058823529411765, recall : 0.9058823529411765, precision : 0.830838844413505, f1 : 0.8667392883079159, roc_auc : 0.76
2 : [ 20 586 ]  accuracy : 0.9299363057324841, recall : 0.9299363057324841, precision : 0.934845226986896, f1 : 0.8961762418280045, roc_auc : 0.7594956413449564
2 : [ 20 27 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7593856655290102
2 : [ 22 30 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7592150170648463
2 : [ 21 519 ]  accuracy : 0.9058823529411765, recall : 0.9058823529411765, precision : 0.830838844413505, f1 : 0.8667392883079159, roc_auc : 0.7591397849462366
2 : [ 22 300 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7590443686006826
2 : [ 20 303 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7588737201365188
2 : [ 22 303 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7585324232081911
2 : [ 20 168 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7583617747440273
2 : [ 20 164 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7583617747440272
2 : [ 20 162 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7581911262798635
2 : [ 22 249 ]  accuracy : 0.9329073482428115, recall : 0.9329073482428115, precision : 0.876095682804948, f1 : 0.9036094315211364, roc_auc : 0.757679180887372
2 : [ 22 159 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7575085324232081
2 : [ 22 26 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7573378839590443
