3 : [ 0 1 39 ]  accuracy : 0.9228295819935691, recall : 0.9228295819935691, precision : 0.9287848554088565, f1 : 0.8857929432513523, roc_auc : 0.617595818815331
3 : [ 0 1 40 ]  accuracy : 0.9348534201954397, recall : 0.9348534201954397, precision : 0.9390974970556716, f1 : 0.903376874060913, roc_auc : 0.5897212543554007
3 : [ 0 1 41 ]  accuracy : 0.9348534201954397, recall : 0.9348534201954397, precision : 0.9390974970556716, f1 : 0.903376874060913, roc_auc : 0.6095818815331011
3 : [ 0 1 42 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.622937062937063
3 : [ 0 1 43 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.6165034965034966
3 : [ 0 1 44 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.622937062937063
3 : [ 0 1 45 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.6125874125874126
3 : [ 0 1 46 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.6241958041958042
3 : [ 0 1 47 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.622937062937063
3 : [ 0 1 48 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.6213986013986014
3 : [ 0 1 49 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.622937062937063
3 : [ 0 1 50 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.6253146853146853
3 : [ 0 1 51 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.625034965034965
3 : [ 0 1 52 ]  accuracy : 0.9196141479099679, recall : 0.9196141479099679, precision : 0.9260760331262085, f1 : 0.8811043427211082, roc_auc : 0.622937062937063
3 : [ 0 1 53 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5461293743372216
